epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2556,2.79054,5.02571,2.22287,0.00333,1,0.00547,0.00164,2.65429,5.78233,2.35556,4e-05,4e-05,4e-05
2,21.0716,2.17541,4.22858,1.76589,0.00333,1,0.36954,0.20638,1.28361,4.38653,1.09272,9.802e-05,9.802e-05,9.802e-05
3,30.5428,1.50643,3.32873,1.299,0.00333,1,0.995,0.49681,1.64477,4.16331,0.91901,0.000153664,0.000153664,0.000153664
4,40.2838,1.15964,2.39275,1.07323,0.00333,1,0.995,0.4362,1.3556,3.63101,0.90991,0.000206932,0.000206932,0.000206932
5,49.6236,1.08129,2.30239,1.02145,0.69678,1,0.995,0.76673,0.90436,3.08734,0.78222,0.000257824,0.000257824,0.000257824
6,59.0928,1.04755,1.97712,1.02011,0.00333,1,0.995,0.76258,0.87227,3.24853,0.74469,0.00030634,0.00030634,0.00030634
7,68.4146,1.10633,1.74779,0.99494,0.00333,1,0.995,0.72745,0.79648,3.27752,0.78387,0.00035248,0.00035248,0.00035248
8,77.7333,1.13228,1.98056,1.07199,0.00333,1,0.995,0.80216,0.90223,3.31138,0.78951,0.000396244,0.000396244,0.000396244
9,87.0402,1.02269,1.79669,1.05529,0.00333,1,0.995,0.72129,1.1255,3.35091,0.86834,0.000437632,0.000437632,0.000437632
10,96.5629,1.14169,1.64805,1.04966,0.00333,1,0.995,0.70878,1.21831,3.41129,0.89199,0.000476644,0.000476644,0.000476644
11,106.064,1.10372,1.63979,1.03123,0.00333,1,0.995,0.67973,1.2414,3.30304,0.88208,0.00051328,0.00051328,0.00051328
12,115.323,1.01979,1.35477,1.01793,0.00333,1,0.995,0.67153,1.4164,3.32409,0.91694,0.00054754,0.00054754,0.00054754
13,124.694,1.0869,1.43736,1.00457,0.00333,1,0.995,0.43565,1.77235,3.4792,1.09469,0.000579424,0.000579424,0.000579424
